Timestamp	Battery	Time_ms	Q0	Q1	Q2	Q3	Acc_X	Acc_Y	Acc_Z	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6	Sensor7	Sensor8
2025-02-06 08:56:36	146	270441	785064256	4247663580	4099889040	3590486912	1296	702	3728	20475	20475	15755	12600	10535	0	0	0
2025-02-06 08:56:37	145	298514	7495928	259606736	3262837568	142013776	326	-1008	-3962	12155	1095	40	0	0	0	0	0
2025-02-06 08:56:37	150	298626	11483386	260185824	3263188352	143231920	378	-1050	-3966	12305	1210	45	0	0	0	0	0
2025-02-06 08:56:37	150	298739	8879443	252229632	3260965824	141612992	340	-1028	-3942	13270	830	30	0	0	0	0	0
2025-02-06 08:56:37	152	298857	4281856159	227390512	3253953792	131620728	90	-1066	-4044	13810	1670	30	0	0	0	0	0
2025-02-06 08:56:38	151	299651	4281424143	220558928	3253000256	135597232	106	-1012	-3978	14345	1590	40	0	0	0	0	0
2025-02-06 08:56:38	151	299763	4280078114	220883744	3253012480	135020304	88	-1040	-3996	14215	1465	45	0	0	0	0	0
2025-02-06 08:56:38	149	299876	4280041584	221593040	3253226496	135504176	102	-1024	-3988	14445	1645	45	0	0	0	0	0
2025-02-06 08:56:39	151	300889	4280878083	226695072	3254307456	135460144	118	-1060	-3958	14865	1135	105	0	0	0	0	0
2025-02-06 08:56:39	151	301001	4281442976	227413536	3254399808	135022192	116	-1022	-3986	14695	1490	55	0	0	0	0	0
2025-02-06 08:56:39	149	301114	4281313332	228272272	3254606016	135149168	120	-1042	-3974	15995	805	75	0	0	0	0	0
2025-02-06 08:56:39	146	301345	4281226310	229677552	3255178752	137152032	122	-1044	-3994	15570	765	65	0	0	0	0	0
2025-02-06 08:56:40	150	301463	4281033867	230356000	3255261888	136624976	118	-1018	-4010	16095	750	90	0	0	0	0	0
2025-02-06 08:56:40	150	301575	4282094045	231143424	3255466880	136958016	140	-1066	-3980	15470	1385	135	0	0	0	0	0
2025-02-06 08:56:40	149	302363	4281371751	236497152	3256563456	136063616	126	-1036	-3964	17090	1445	185	0	0	0	0	0
2025-02-06 08:56:41	151	302476	4279211517	237177440	3256751104	136078384	96	-1036	-3962	16870	1535	220	0	0	0	0	0
2025-02-06 08:56:41	149	302588	4279917002	238229088	3256856768	135124576	126	-1042	-3966	16915	1355	220	0	0	0	0	0
2025-02-06 08:56:41	150	302701	4280452279	239166560	3256974976	134433696	128	-1012	-3958	17320	1390	230	0	0	0	0	0
